pygame 2.0.1 (SDL 2.0.14, Python 3.7.11)
Hello from the pygame community. https://www.pygame.org/contribute.html
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to ./ACAS2D_PPO_tensorboard/run_1048576_5
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 658      |
|    ep_rew_mean     | -600     |
| time/              |          |
|    fps             | 77       |
|    iterations      | 1        |
|    time_elapsed    | 26       |
|    total_timesteps | 2048     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 595          |
|    ep_rew_mean          | -420         |
| time/                   |              |
|    fps                  | 81           |
|    iterations           | 2            |
|    time_elapsed         | 50           |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0015048923 |
|    clip_fraction        | 0.00171      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 1.03e-05     |
|    learning_rate        | 0.0003       |
|    loss                 | 590          |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.0012      |
|    std                  | 0.989        |
|    value_loss           | 8.36e+03     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 652           |
|    ep_rew_mean          | -434          |
| time/                   |               |
|    fps                  | 84            |
|    iterations           | 3             |
|    time_elapsed         | 72            |
|    total_timesteps      | 6144          |
| train/                  |               |
|    approx_kl            | 0.00056802016 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.41         |
|    explained_variance   | 0.00325       |
|    learning_rate        | 0.0003        |
|    loss                 | 2.24e+03      |
|    n_updates            | 20            |
|    policy_gradient_loss | -0.000467     |
|    std                  | 0.986         |
|    value_loss           | 1.25e+04      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 761          |
|    ep_rew_mean          | -341         |
| time/                   |              |
|    fps                  | 85           |
|    iterations           | 4            |
|    time_elapsed         | 95           |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0033870358 |
|    clip_fraction        | 0.0143       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.4         |
|    explained_variance   | 0.0521       |
|    learning_rate        | 0.0003       |
|    loss                 | 24.9         |
|    n_updates            | 30           |
|    policy_gradient_loss | 0.000131     |
|    std                  | 0.974        |
|    value_loss           | 4.08e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 806          |
|    ep_rew_mean          | -192         |
| time/                   |              |
|    fps                  | 85           |
|    iterations           | 5            |
|    time_elapsed         | 119          |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0044530355 |
|    clip_fraction        | 0.0377       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.4         |
|    explained_variance   | 0.85         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.653        |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00284     |
|    std                  | 0.994        |
|    value_loss           | 3.43         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 862          |
|    ep_rew_mean          | -156         |
| time/                   |              |
|    fps                  | 86           |
|    iterations           | 6            |
|    time_elapsed         | 141          |
|    total_timesteps      | 12288        |
| train/                  |              |
|    approx_kl            | 0.0009890841 |
|    clip_fraction        | 0.000439     |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.0469       |
|    learning_rate        | 0.0003       |
|    loss                 | 8.75e+03     |
|    n_updates            | 50           |
|    policy_gradient_loss | -7.57e-06    |
|    std                  | 0.994        |
|    value_loss           | 4.08e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 856          |
|    ep_rew_mean          | -189         |
| time/                   |              |
|    fps                  | 87           |
|    iterations           | 7            |
|    time_elapsed         | 164          |
|    total_timesteps      | 14336        |
| train/                  |              |
|    approx_kl            | 0.0019086683 |
|    clip_fraction        | 0.00864      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.646        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.04         |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00138     |
|    std                  | 0.982        |
|    value_loss           | 6.14         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 894           |
|    ep_rew_mean          | -166          |
| time/                   |               |
|    fps                  | 87            |
|    iterations           | 8             |
|    time_elapsed         | 187           |
|    total_timesteps      | 16384         |
| train/                  |               |
|    approx_kl            | 0.00040130765 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.4          |
|    explained_variance   | 0.0564        |
|    learning_rate        | 0.0003        |
|    loss                 | 14.9          |
|    n_updates            | 70            |
|    policy_gradient_loss | -0.00019      |
|    std                  | 0.979         |
|    value_loss           | 4.07e+03      |
-------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 910         |
|    ep_rew_mean          | -152        |
| time/                   |             |
|    fps                  | 87          |
|    iterations           | 9           |
|    time_elapsed         | 209         |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.008986938 |
|    clip_fraction        | 0.084       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.4        |
|    explained_variance   | 0.699       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.3         |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.00413    |
|    std                  | 0.992       |
|    value_loss           | 4.8         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 938          |
|    ep_rew_mean          | -132         |
| time/                   |              |
|    fps                  | 88           |
|    iterations           | 10           |
|    time_elapsed         | 232          |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0037482292 |
|    clip_fraction        | 0.0251       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | -0.746       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.223        |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.000487    |
|    std                  | 0.99         |
|    value_loss           | 1.05         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 960          |
|    ep_rew_mean          | -115         |
| time/                   |              |
|    fps                  | 88           |
|    iterations           | 11           |
|    time_elapsed         | 254          |
|    total_timesteps      | 22528        |
| train/                  |              |
|    approx_kl            | 0.0033400361 |
|    clip_fraction        | 0.0182       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.4         |
|    explained_variance   | 0.543        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.77         |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00341     |
|    std                  | 0.982        |
|    value_loss           | 5.41         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 979          |
|    ep_rew_mean          | -103         |
| time/                   |              |
|    fps                  | 88           |
|    iterations           | 12           |
|    time_elapsed         | 277          |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0037610976 |
|    clip_fraction        | 0.0346       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.4         |
|    explained_variance   | 0.858        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.321        |
|    n_updates            | 110          |
|    policy_gradient_loss | -0.00494     |
|    std                  | 0.971        |
|    value_loss           | 0.519        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 988         |
|    ep_rew_mean          | -97.2       |
| time/                   |             |
|    fps                  | 88          |
|    iterations           | 13          |
|    time_elapsed         | 300         |
|    total_timesteps      | 26624       |
| train/                  |             |
|    approx_kl            | 0.001218808 |
|    clip_fraction        | 0.00317     |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.39       |
|    explained_variance   | 0.884       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0835      |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00125    |
|    std                  | 0.977       |
|    value_loss           | 0.69        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -89.1        |
| time/                   |              |
|    fps                  | 88           |
|    iterations           | 14           |
|    time_elapsed         | 322          |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 0.0026832472 |
|    clip_fraction        | 0.0276       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.39        |
|    explained_variance   | 0.963        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0914       |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.0015      |
|    std                  | 0.965        |
|    value_loss           | 0.253        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | -81.1       |
| time/                   |             |
|    fps                  | 88          |
|    iterations           | 15          |
|    time_elapsed         | 345         |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.006251415 |
|    clip_fraction        | 0.079       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.39       |
|    explained_variance   | 0.977       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0139      |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00742    |
|    std                  | 0.971       |
|    value_loss           | 0.205       |
-----------------------------------------
Eval num_timesteps=32768, episode_reward=69.97 +/- 27.33
Episode length: 1199.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 1.2e+03      |
|    mean_reward          | 70           |
| time/                   |              |
|    total timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0059409793 |
|    clip_fraction        | 0.0542       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.39        |
|    explained_variance   | 0.964        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0897       |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.00321     |
|    std                  | 0.98         |
|    value_loss           | 0.336        |
------------------------------------------
New best mean reward!
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.02e+03 |
|    ep_rew_mean     | -76.8    |
| time/              |          |
|    fps             | 66       |
|    iterations      | 16       |
|    time_elapsed    | 494      |
|    total_timesteps | 32768    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.03e+03     |
|    ep_rew_mean          | -70.3        |
| time/                   |              |
|    fps                  | 67           |
|    iterations           | 17           |
|    time_elapsed         | 517          |
|    total_timesteps      | 34816        |
| train/                  |              |
|    approx_kl            | 0.0041303774 |
|    clip_fraction        | 0.0348       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.4         |
|    explained_variance   | 0.957        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0612       |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.0035      |
|    std                  | 0.976        |
|    value_loss           | 0.168        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.04e+03     |
|    ep_rew_mean          | -60.6        |
| time/                   |              |
|    fps                  | 68           |
|    iterations           | 18           |
|    time_elapsed         | 539          |
|    total_timesteps      | 36864        |
| train/                  |              |
|    approx_kl            | 0.0038506766 |
|    clip_fraction        | 0.0248       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.39        |
|    explained_variance   | 0.867        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.03         |
|    n_updates            | 170          |
|    policy_gradient_loss | -0.00291     |
|    std                  | 0.963        |
|    value_loss           | 1.47         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.05e+03    |
|    ep_rew_mean          | -55.3       |
| time/                   |             |
|    fps                  | 69          |
|    iterations           | 19          |
|    time_elapsed         | 562         |
|    total_timesteps      | 38912       |
| train/                  |             |
|    approx_kl            | 0.007544174 |
|    clip_fraction        | 0.0965      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.38       |
|    explained_variance   | 0.982       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.118       |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0049     |
|    std                  | 0.951       |
|    value_loss           | 0.376       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.05e+03     |
|    ep_rew_mean          | -51.8        |
| time/                   |              |
|    fps                  | 70           |
|    iterations           | 20           |
|    time_elapsed         | 585          |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0043924702 |
|    clip_fraction        | 0.0275       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.36        |
|    explained_variance   | 0.958        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.142        |
|    n_updates            | 190          |
|    policy_gradient_loss | -0.00188     |
|    std                  | 0.928        |
|    value_loss           | 0.305        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.06e+03     |
|    ep_rew_mean          | -43.7        |
| time/                   |              |
|    fps                  | 70           |
|    iterations           | 21           |
|    time_elapsed         | 607          |
|    total_timesteps      | 43008        |
| train/                  |              |
|    approx_kl            | 0.0021174774 |
|    clip_fraction        | 0.0132       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.946        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.134        |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.00196     |
|    std                  | 0.906        |
|    value_loss           | 0.334        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.05e+03     |
|    ep_rew_mean          | -62          |
| time/                   |              |
|    fps                  | 71           |
|    iterations           | 22           |
|    time_elapsed         | 630          |
|    total_timesteps      | 45056        |
| train/                  |              |
|    approx_kl            | 0.0030659176 |
|    clip_fraction        | 0.0148       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.32        |
|    explained_variance   | 0.938        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.223        |
|    n_updates            | 210          |
|    policy_gradient_loss | -0.000628    |
|    std                  | 0.899        |
|    value_loss           | 0.783        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.05e+03     |
|    ep_rew_mean          | -78.5        |
| time/                   |              |
|    fps                  | 72           |
|    iterations           | 23           |
|    time_elapsed         | 653          |
|    total_timesteps      | 47104        |
| train/                  |              |
|    approx_kl            | 0.0013459455 |
|    clip_fraction        | 0.00181      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.31        |
|    explained_variance   | 0.0786       |
|    learning_rate        | 0.0003       |
|    loss                 | 197          |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.000108    |
|    std                  | 0.898        |
|    value_loss           | 3.96e+03     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.05e+03      |
|    ep_rew_mean          | -75.4         |
| time/                   |               |
|    fps                  | 72            |
|    iterations           | 24            |
|    time_elapsed         | 675           |
|    total_timesteps      | 49152         |
| train/                  |               |
|    approx_kl            | 1.2055098e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.31         |
|    explained_variance   | 0.0293        |
|    learning_rate        | 0.0003        |
|    loss                 | 89.8          |
|    n_updates            | 230           |
|    policy_gradient_loss | -6.75e-05     |
|    std                  | 0.898         |
|    value_loss           | 4e+03         |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.06e+03     |
|    ep_rew_mean          | -69.5        |
| time/                   |              |
|    fps                  | 73           |
|    iterations           | 25           |
|    time_elapsed         | 698          |
|    total_timesteps      | 51200        |
| train/                  |              |
|    approx_kl            | 0.0036593364 |
|    clip_fraction        | 0.0236       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.31        |
|    explained_variance   | 0.854        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0617       |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00299     |
|    std                  | 0.885        |
|    value_loss           | 0.744        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.06e+03    |
|    ep_rew_mean          | -65.3       |
| time/                   |             |
|    fps                  | 73          |
|    iterations           | 26          |
|    time_elapsed         | 721         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.006841951 |
|    clip_fraction        | 0.0559      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.29       |
|    explained_variance   | 0.951       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.117       |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.00368    |
|    std                  | 0.871       |
|    value_loss           | 0.412       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.06e+03     |
|    ep_rew_mean          | -62.7        |
| time/                   |              |
|    fps                  | 74           |
|    iterations           | 27           |
|    time_elapsed         | 744          |
|    total_timesteps      | 55296        |
| train/                  |              |
|    approx_kl            | 0.0021319205 |
|    clip_fraction        | 0.00942      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.28        |
|    explained_variance   | 0.975        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0446       |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.00071     |
|    std                  | 0.863        |
|    value_loss           | 0.372        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.07e+03    |
|    ep_rew_mean          | -58.9       |
| time/                   |             |
|    fps                  | 74          |
|    iterations           | 28          |
|    time_elapsed         | 767         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.007456503 |
|    clip_fraction        | 0.0539      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.28       |
|    explained_variance   | 0.98        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.019       |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.00326    |
|    std                  | 0.882       |
|    value_loss           | 0.0808      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.07e+03    |
|    ep_rew_mean          | -55.1       |
| time/                   |             |
|    fps                  | 75          |
|    iterations           | 29          |
|    time_elapsed         | 790         |
|    total_timesteps      | 59392       |
| train/                  |             |
|    approx_kl            | 0.004475985 |
|    clip_fraction        | 0.0303      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.3        |
|    explained_variance   | 0.939       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0244      |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.00198    |
|    std                  | 0.892       |
|    value_loss           | 0.276       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.07e+03    |
|    ep_rew_mean          | -68.1       |
| time/                   |             |
|    fps                  | 75          |
|    iterations           | 30          |
|    time_elapsed         | 813         |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.005061669 |
|    clip_fraction        | 0.0643      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.32       |
|    explained_variance   | 0.982       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0456      |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.00674    |
|    std                  | 0.916       |
|    value_loss           | 0.141       |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.06e+03      |
|    ep_rew_mean          | -80.1         |
| time/                   |               |
|    fps                  | 75            |
|    iterations           | 31            |
|    time_elapsed         | 836           |
|    total_timesteps      | 63488         |
| train/                  |               |
|    approx_kl            | 0.00030820916 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.33         |
